20.719810966205173	44.471849650171265
16.068704971179244	39.04555219550414
12.967967641161962	33.231662065503656
2.1153869861014556	29.355735312170026
-4.4736798401852695	26.254993909503085
-7.186825003950403	20.053511104169246
-10.287562333967685	15.789991675502222
-21.140142989028192	15.402399000168856
-23.85328815279331	11.914064922168563
-26.954025482810593	2.6118407141677977
-28.891986314071403	-1.6516787144992264
-35.86864530661029	-3.2020494158326898
-42.84530429914919	-3.2020494158326898
-46.7212259616708	-7.85316151983308
-44.39567296415783	-14.442237000500285
-41.29493563414055	-20.256127130500772
-37.031421805366776	-21.806497831834236
-35.48105314035814	-27.232795286501343
-37.8066061378711	-32.2715000658351
-32.76790797659301	-36.14742681916876
-31.605131477836522	-39.24816822183568
-38.19419830412326	-39.63576089716904
-42.45771213289703	-43.124094975169335
-41.29493563414055	-48.937985105169815
